N,P,K,temperature,humidity,ph,rainfall,label
16.0,19.6,36.1,35.89,59.1,6.47,131.21,Mango
72.1,51.0,37.6,20.02,78.54,5.81,99.52,Maize
34.8,40.1,22.8,27.73,91.92,7.16,35.63,Mungbean
19.1,28.6,48.7,24.51,56.58,5.51,80.07,Mango
27.1,7.7,5.2,14.47,88.51,7.21,91.26,Orange
25.9,18.2,36.9,26.88,79.61,6.85,229.2,Coconut
15.1,5.4,47.5,21.0,85.27,6.36,69.83,Pomegranate
34.9,16.8,34.4,29.23,78.79,7.01,88.01,Mango
24.0,18.6,49.0,31.83,71.03,6.84,202.87,Coconut
15.8,24.4,50.4,24.78,53.83,7.34,99.77,Mango
18.1,9.9,52.9,18.94,87.68,6.38,56.59,Pomegranate
109.7,25.3,46.1,29.63,78.74,5.83,239.45,Sugarcane
31.5,66.3,20.0,29.18,57.31,7.87,72.39,Blackgram
59.9,77.0,49.7,25.95,94.22,7.36,162.19,Papaya
23.8,17.8,30.3,32.34,78.63,6.28,218.21,Coconut
48.2,55.6,16.3,28.77,65.28,6.56,62.27,Blackgram
19.0,6.2,15.2,31.33,88.91,7.94,113.33,Orange
34.0,107.0,212.8,31.56,73.41,5.53,64.02,Grapes
20.1,146.3,215.6,22.51,94.63,6.84,126.91,Apple
90.7,36.4,40.5,18.1,76.63,6.49,163.12,Coffee
64.3,68.4,62.2,33.87,91.07,6.83,123.13,Papaya
21.2,48.2,18.6,25.19,43.88,3.66,53.51,Mothbeans
84.5,37.6,32.7,30.0,72.97,6.55,106.15,Maize
27.0,140.9,193.9,8.73,88.49,6.69,141.63,Apple
34.9,41.8,25.2,34.76,86.62,6.2,52.14,Mungbean
18.1,81.6,16.6,20.71,35.54,7.32,39.86,Lentil
11.8,84.6,16.7,23.71,59.5,7.71,46.1,Lentil
26.7,6.8,9.8,10.27,84.93,6.93,121.81,Orange
66.6,47.9,43.9,26.33,93.72,6.49,246.77,Jute
53.8,61.3,89.3,23.21,26.27,6.8,67.43,Chickpea
20.6,130.5,202.5,13.12,80.71,5.56,103.13,Apple
88.8,39.0,20.1,25.56,89.03,5.84,226.45,Sugarcane
134.1,42.0,29.0,31.49,66.16,6.12,54.31,Cotton
22.5,63.4,28.1,23.35,31.22,5.74,128.51,Pigeonpeas
27.5,40.8,27.5,28.17,84.68,7.23,38.8,Mungbean
31.5,48.9,23.6,24.32,62.32,4.16,31.56,Mothbeans
48.7,66.9,47.7,27.38,91.49,7.37,176.2,Papaya
14.2,10.6,48.0,20.55,87.85,5.91,54.56,Pomegranate
25.7,18.4,16.6,31.42,93.53,7.19,94.51,Orange
62.1,63.2,44.6,26.58,83.01,5.61,255.53,Rice
31.5,71.3,16.9,32.66,30.82,5.56,127.26,Pigeonpeas
34.2,65.3,72.4,20.33,39.75,7.76,74.98,Chickpea
85.4,20.0,31.6,31.52,94.23,7.27,199.31,Sugarcane
86.5,56.0,63.2,26.01,80.4,6.99,101.26,Banana
66.8,56.9,38.3,23.04,94.79,6.46,246.83,Rice
24.6,62.0,63.5,29.41,62.7,6.3,92.04,Groundnut
126.4,69.3,34.7,34.14,48.3,7.72,78.42,Cotton
108.5,48.7,18.1,20.26,67.49,7.41,85.03,Wheat
63.5,47.7,35.6,21.75,85.11,5.54,203.86,Rice
17.5,16.0,45.5,26.25,81.15,6.25,35.87,Pomegranate
5.2,10.1,41.9,26.0,86.93,6.99,38.43,Pomegranate
32.5,60.0,18.6,25.51,92.87,6.82,32.23,Mungbean
94.3,19.6,40.2,22.96,63.01,6.35,138.47,Coffee
23.6,61.8,26.7,24.22,56.79,5.36,45.63,Mothbeans
34.2,123.2,212.1,13.41,90.61,5.8,128.83,Apple
20.3,53.8,27.6,25.21,53.84,4.13,38.79,Mothbeans
125.5,47.4,22.0,27.05,79.93,6.15,177.62,Sugarcane
39.5,83.0,85.3,26.03,45.66,7.35,89.35,Chickpea
32.2,29.7,30.6,24.83,78.89,6.07,80.97,Mango
14.1,68.8,18.7,25.24,59.69,7.59,59.18,Lentil
26.5,28.5,38.5,34.4,59.76,7.1,119.81,Mango
120.6,37.7,41.2,23.9,63.54,6.61,184.7,Coffee
115.2,40.3,43.0,29.5,84.13,7.46,216.98,Sugarcane
32.1,27.1,48.4,30.45,59.78,5.55,130.68,Mango
21.5,24.5,39.4,26.37,90.91,6.59,219.35,Coconut
78.0,50.4,41.1,31.59,84.14,6.05,181.63,Jute
22.1,47.1,72.1,27.23,74.2,5.72,62.53,Groundnut
67.2,79.1,54.4,34.4,84.15,7.47,141.46,Papaya
110.7,33.0,40.7,18.9,71.86,6.35,151.87,Coffee
101.0,62.3,18.9,16.98,52.48,6.73,78.57,Wheat
11.3,68.0,19.6,29.1,43.3,7.28,46.16,Lentil
22.0,7.3,19.5,25.59,89.96,6.61,101.53,Orange
68.6,39.0,53.7,24.57,84.45,6.68,276.9,Rice
18.3,106.9,207.8,16.15,72.9,5.83,89.94,Grapes
34.2,141.1,201.3,8.42,94.47,6.06,142.08,Apple
19.4,42.4,18.8,34.18,86.14,7.49,49.29,Mungbean
81.8,60.0,46.7,21.18,77.55,5.96,287.88,Rice
21.8,10.7,7.9,21.74,81.87,7.94,126.56,Orange
28.5,81.6,31.4,24.5,31.9,6.75,154.01,Pigeonpeas
104.8,32.7,41.5,18.46,56.22,5.61,144.31,Coffee
25.8,42.1,22.9,25.94,83.92,6.82,54.84,Mungbean
28.1,11.9,5.8,11.37,92.45,7.3,103.34,Orange
99.2,21.1,26.0,26.85,70.35,6.14,233.32,Sugarcane
24.5,16.8,17.6,25.68,83.9,7.11,127.95,Orange
18.1,123.8,201.4,19.77,80.79,6.59,158.47,Apple
24.8,134.4,207.9,26.23,88.53,6.6,69.69,Grapes
25.6,64.6,24.5,20.36,33.49,6.17,35.92,Lentil
118.0,24.3,42.1,18.64,60.4,5.7,166.07,Coffee
34.5,78.8,31.5,25.13,58.82,7.26,179.43,Pigeonpeas
103.9,35.4,33.3,26.28,81.09,5.84,172.22,Coffee
86.5,47.5,19.4,19.93,50.64,6.02,105.3,Wheat
94.6,59.3,40.3,26.3,77.16,6.81,283.03,Rice
24.2,17.2,9.0,14.26,82.07,6.92,95.05,Orange
109.8,67.0,30.2,25.19,45.16,6.82,61.65,Cotton
19.9,44.4,16.6,25.99,56.0,5.01,32.68,Mothbeans
34.9,41.4,43.6,28.08,78.13,7.07,100.87,Mango
118.7,58.5,28.3,30.01,57.08,6.98,50.33,Cotton
16.2,126.8,213.9,35.44,76.39,6.05,87.17,Grapes
9.6,12.0,38.7,18.39,92.14,6.41,53.04,Pomegranate
22.9,51.6,27.1,31.34,47.59,4.57,43.08,Mothbeans
23.1,66.0,24.2,26.6,44.33,7.5,55.56,Lentil
18.8,80.0,20.6,23.33,52.32,7.48,41.41,Lentil
99.1,17.5,30.4,18.07,67.97,6.07,131.67,Coffee
15.7,17.4,46.8,29.43,84.93,6.28,67.19,Pomegranate
18.7,50.3,23.4,25.86,43.68,3.77,58.06,Mothbeans
112.3,38.1,28.1,15.49,65.67,5.71,149.37,Coffee
24.6,42.5,20.8,29.07,53.54,5.11,35.84,Mothbeans
18.5,11.6,33.4,31.72,92.9,6.59,203.93,Coconut
84.0,47.9,39.6,26.2,70.9,5.86,150.03,Jute
53.1,76.0,83.2,15.62,48.14,6.61,79.37,Chickpea
26.8,63.4,18.1,27.79,40.85,3.81,37.66,Mothbeans
34.0,131.2,210.5,16.1,83.94,6.81,140.95,Apple
75.1,57.7,45.3,28.59,91.69,6.23,198.21,Jute
122.6,73.8,55.9,25.3,73.64,5.51,136.44,Banana
129.3,53.3,46.8,28.73,85.67,6.03,83.34,Banana
68.1,41.2,47.4,26.03,72.67,6.88,217.58,Jute
102.8,61.7,25.2,19.86,53.86,6.7,117.84,Wheat
21.2,63.7,22.7,27.09,61.78,4.88,57.81,Mothbeans
49.1,64.8,63.3,33.39,85.65,6.71,159.54,Papaya
8.9,12.0,35.6,20.08,89.87,5.87,35.59,Pomegranate
12.2,59.9,22.5,21.67,48.76,7.82,37.96,Lentil
54.0,79.1,54.6,35.98,83.27,6.09,176.33,Papaya
25.8,84.2,29.0,30.65,32.65,5.87,139.28,Pigeonpeas
106.5,36.3,28.6,18.76,74.11,6.43,141.77,Coffee
24.8,132.1,203.5,19.45,70.78,6.88,75.39,Grapes
96.7,17.6,26.3,26.42,71.45,5.54,151.76,Coffee
128.4,18.7,41.1,17.3,69.99,6.99,187.95,Coffee
122.3,69.2,35.5,19.36,66.07,6.04,115.04,Wheat
82.0,45.1,29.8,23.19,76.21,6.21,201.35,Sugarcane
16.9,125.4,195.6,21.8,82.83,6.24,143.77,Apple
58.5,57.5,50.7,26.54,84.11,6.66,173.12,Papaya
87.4,56.2,23.6,18.62,63.59,6.68,72.52,Wheat
27.9,68.5,25.8,30.25,61.14,6.19,175.1,Pigeonpeas
43.7,57.6,27.9,34.4,57.66,7.42,64.23,Blackgram
80.6,44.8,40.3,19.95,79.77,6.98,77.95,Maize
22.6,102.9,194.2,17.25,72.0,6.19,87.93,Grapes
32.2,41.4,19.5,34.64,82.05,6.39,41.39,Mungbean
113.9,54.6,31.7,12.55,59.88,6.9,50.54,Wheat
61.6,54.6,45.1,25.53,82.06,5.7,210.35,Jute
23.2,32.5,49.7,28.34,52.94,6.92,134.56,Mango
20.7,9.9,26.8,31.13,78.47,5.89,136.91,Coconut
6.4,8.7,48.7,33.22,85.61,6.45,43.79,Pomegranate
20.0,18.8,47.7,32.96,87.96,5.25,134.84,Coconut
20.5,51.0,73.8,31.05,57.85,6.42,53.82,Groundnut
16.0,64.7,18.2,31.61,84.31,6.17,37.05,Mungbean
41.4,73.5,52.1,30.84,86.13,6.67,170.09,Papaya
34.2,54.1,20.4,28.8,89.37,7.34,39.74,Mungbean
44.7,60.5,78.2,29.15,23.98,7.36,96.53,Chickpea
97.3,61.4,52.6,22.96,78.15,6.75,264.42,Rice
87.6,71.1,73.9,29.71,91.49,6.38,94.09,Banana
31.3,144.7,196.6,23.44,82.65,6.96,132.24,Apple
20.5,56.8,18.4,25.03,47.44,6.93,46.11,Lentil
84.9,66.6,18.4,17.44,66.76,7.11,116.22,Wheat
92.6,34.0,40.3,32.72,79.93,5.7,201.15,Sugarcane
26.7,119.1,205.6,14.51,81.75,6.98,69.3,Grapes
34.9,42.7,23.9,28.92,53.15,5.16,41.38,Mothbeans
34.4,118.9,184.2,33.92,73.51,6.59,72.26,Grapes
57.6,79.1,88.2,27.74,23.87,7.64,67.2,Chickpea
16.6,17.7,45.0,28.12,71.32,5.69,221.21,Coconut
43.6,75.8,21.0,30.34,78.19,7.81,73.52,Blackgram
24.7,132.2,197.3,24.0,71.99,5.6,96.36,Grapes
35.5,26.9,51.1,30.83,64.82,6.6,119.39,Mango
116.1,69.1,30.0,16.22,64.45,6.32,95.97,Wheat
128.8,32.4,28.5,22.77,73.93,6.45,165.12,Coffee
27.0,40.1,18.9,27.46,85.18,6.51,40.84,Mungbean
13.4,82.2,20.8,25.84,59.23,6.82,49.09,Lentil
57.7,65.5,75.0,24.66,28.7,6.31,64.59,Chickpea
16.2,130.5,215.5,21.87,92.29,5.94,108.65,Apple
113.3,20.8,41.2,16.19,66.99,6.88,178.74,Coffee
21.1,12.8,5.1,21.26,92.49,6.25,107.97,Orange
98.6,42.4,38.5,32.87,74.67,5.76,201.38,Jute
51.8,70.4,52.2,33.57,91.74,7.22,156.48,Papaya
8.1,14.4,54.0,29.04,84.95,6.71,30.8,Pomegranate
17.9,23.7,28.9,29.96,94.84,6.54,150.93,Coconut
23.2,20.8,28.1,31.14,52.03,7.08,77.43,Mango
31.8,11.0,48.0,25.49,80.42,5.36,207.37,Coconut
28.8,5.6,14.7,11.74,81.43,7.61,118.93,Orange
140.9,63.9,23.2,28.49,60.83,6.48,82.93,Cotton
20.2,19.0,37.1,32.99,91.55,5.69,130.97,Coconut
24.2,64.4,27.8,28.86,43.38,7.77,35.52,Lentil
52.9,62.6,62.0,37.63,80.32,6.08,166.42,Papaya
98.4,28.5,29.1,21.8,62.76,6.22,178.39,Coffee
65.6,58.7,25.7,24.65,64.22,7.11,93.1,Maize
15.7,112.0,199.5,27.26,89.09,6.48,75.01,Grapes
62.6,47.2,45.9,23.33,79.14,6.13,288.58,Rice
57.3,78.2,60.5,31.83,81.94,6.49,177.31,Papaya
58.9,67.8,60.5,34.19,84.72,7.39,146.0,Papaya
61.4,37.0,44.5,22.4,64.57,6.63,96.31,Maize
18.2,21.2,38.0,32.52,64.24,6.71,144.52,Mango
24.4,18.5,27.6,25.54,80.66,5.36,197.5,Coconut
103.3,26.8,28.1,22.8,88.81,6.83,158.57,Sugarcane
34.8,40.1,17.7,25.07,64.59,4.23,57.43,Mothbeans
25.3,47.8,28.6,31.26,54.15,4.2,42.25,Mothbeans
29.7,100.5,209.0,24.12,83.57,6.98,65.9,Grapes
87.4,54.5,65.6,28.0,80.88,5.98,138.12,Banana
50.6,73.0,51.8,34.3,91.8,6.42,165.76,Papaya
29.1,136.5,211.7,14.53,89.17,5.99,103.44,Apple
111.2,65.9,30.7,13.81,51.71,6.66,71.2,Wheat
17.5,106.4,188.2,12.51,81.25,6.78,61.4,Grapes
88.1,73.4,53.5,32.53,86.35,5.68,114.36,Banana
26.1,61.1,18.3,31.65,51.61,3.81,33.94,Mothbeans
44.8,56.1,63.6,36.85,80.38,6.91,168.48,Papaya
33.1,46.4,19.0,30.31,80.61,7.43,43.48,Mungbean
93.7,42.1,51.9,34.51,83.07,5.54,164.53,Jute
16.7,15.1,46.3,27.78,73.31,5.56,231.52,Coconut
90.6,44.7,42.2,31.87,91.68,7.14,201.53,Sugarcane
63.6,63.4,53.2,33.48,87.06,7.46,157.31,Papaya
68.8,41.6,43.7,20.23,81.72,6.52,228.52,Rice
84.2,68.0,71.0,34.01,80.18,6.05,126.02,Banana
18.3,77.9,21.1,29.62,40.61,7.61,59.25,Lentil
62.9,48.7,55.0,27.97,76.47,5.82,211.82,Rice
18.4,20.4,40.1,26.27,72.57,6.64,223.58,Coconut
119.7,29.8,35.5,26.39,78.61,6.28,156.13,Coffee
22.1,108.7,196.1,16.85,77.78,6.19,62.64,Grapes
47.7,69.2,26.9,33.57,78.83,7.78,57.71,Blackgram
28.2,11.2,39.4,28.12,92.3,5.64,145.03,Coconut
21.2,53.6,23.2,25.69,94.74,7.31,55.59,Mungbean
25.2,22.0,36.9,30.49,78.74,7.28,126.23,Mango
27.5,7.4,28.3,27.03,85.56,5.51,179.62,Coconut
61.7,40.2,53.2,28.7,81.74,6.18,154.64,Jute
40.5,75.0,64.0,26.11,83.75,6.81,140.25,Papaya
15.2,70.9,19.4,18.26,53.16,6.14,53.58,Lentil
24.8,64.3,68.3,30.64,66.85,6.08,97.2,Groundnut
28.7,21.0,47.2,28.54,94.24,5.56,124.05,Coconut
67.4,52.9,48.5,21.88,77.4,6.84,209.55,Rice
29.2,21.8,40.7,33.39,55.76,6.86,149.28,Mango
124.1,54.3,23.8,31.06,52.97,6.6,90.51,Cotton
67.0,62.6,49.9,22.76,67.38,7.37,117.73,Maize
89.6,51.6,43.6,20.08,76.5,6.82,288.47,Rice
88.0,50.8,68.9,30.93,76.03,6.66,130.86,Banana
11.5,10.1,48.1,25.66,84.27,6.27,62.85,Pomegranate
104.6,21.5,31.1,15.0,79.46,6.77,147.51,Coffee
11.8,56.8,71.1,32.94,75.09,6.08,90.28,Groundnut
24.3,139.3,217.0,15.44,81.29,6.6,155.05,Apple
80.4,44.9,45.0,32.61,91.2,6.71,211.4,Jute
76.0,41.6,55.0,24.08,76.82,5.57,193.16,Rice
18.8,121.1,213.2,15.08,76.04,6.95,86.34,Grapes
20.8,55.5,15.6,28.79,80.61,6.65,30.79,Mungbean
60.8,51.2,55.0,22.8,88.0,6.67,258.21,Rice
34.6,27.1,37.2,30.96,69.66,6.44,106.14,Mango
33.1,120.0,183.3,15.12,78.51,6.54,81.44,Grapes
105.3,52.6,56.2,32.55,79.02,6.5,90.61,Banana
63.0,72.4,53.6,30.55,82.07,6.66,173.83,Papaya
59.7,61.1,50.8,32.88,87.18,6.18,124.61,Papaya
35.5,74.5,29.5,25.63,70.7,7.95,67.37,Blackgram
105.5,67.2,23.7,20.73,70.47,7.22,66.54,Wheat
26.2,55.5,26.8,25.17,89.37,6.95,58.16,Mungbean
115.5,52.5,17.9,12.25,58.12,7.2,93.27,Wheat
54.5,80.3,91.4,20.01,36.57,7.48,91.81,Chickpea
33.7,144.3,211.3,9.22,80.03,6.9,108.92,Apple
9.5,8.5,50.4,22.45,84.09,5.75,61.36,Pomegranate
56.4,66.9,50.8,33.68,94.39,6.74,160.06,Papaya
63.2,53.1,45.6,24.55,63.03,5.66,99.66,Maize
29.6,18.0,12.7,29.5,82.82,6.56,96.57,Orange
16.6,68.9,33.2,20.66,51.91,6.61,155.63,Pigeonpeas
28.8,40.8,27.8,29.32,57.37,5.12,44.35,Mothbeans
25.0,8.9,17.5,12.31,93.52,6.68,120.13,Orange
115.3,23.1,28.3,18.59,58.59,6.68,120.71,Coffee
72.2,47.7,39.1,32.73,93.76,6.05,155.43,Jute
102.5,35.0,45.0,21.03,78.74,6.0,187.48,Coffee
29.0,80.8,22.7,27.7,33.43,6.88,157.21,Pigeonpeas
38.3,29.7,54.2,33.89,54.33,5.75,124.0,Mango
18.0,138.8,204.9,20.88,82.14,6.81,132.83,Apple
108.1,49.9,18.1,16.24,66.63,7.13,110.77,Wheat
121.5,60.9,18.5,20.47,61.22,6.01,55.55,Wheat
26.6,58.0,21.5,24.98,56.11,5.39,52.08,Mothbeans
105.4,64.6,22.1,15.58,64.67,7.5,84.27,Wheat
98.3,46.9,49.3,20.61,88.81,6.44,192.23,Rice
34.3,74.1,74.4,29.51,49.97,7.76,68.4,Chickpea
103.8,63.3,27.8,13.31,62.6,7.42,53.04,Wheat
115.7,53.5,16.1,26.67,45.24,6.27,90.76,Cotton
109.8,30.1,46.6,34.94,78.57,7.3,185.93,Sugarcane
21.8,57.1,27.7,25.83,51.12,4.9,66.47,Mothbeans
89.0,51.8,37.0,28.43,63.32,7.41,60.92,Maize
118.3,60.5,30.3,34.41,64.26,6.03,53.38,Cotton
28.3,70.4,15.2,23.25,30.96,7.01,53.95,Lentil
119.5,66.9,21.6,31.82,48.5,7.98,86.21,Cotton
83.0,51.1,43.1,29.24,77.83,5.85,112.93,Maize
33.1,75.9,19.8,30.77,67.35,7.5,74.76,Blackgram
5.7,15.4,40.1,29.25,94.57,7.15,64.53,Pomegranate
62.3,52.5,45.1,26.82,78.15,6.94,189.61,Rice
25.0,58.0,79.8,26.62,71.55,6.48,63.08,Groundnut
63.6,50.3,45.2,23.44,67.83,6.41,63.46,Maize
12.1,64.0,24.1,24.85,34.64,6.31,52.99,Lentil
26.6,39.9,33.7,35.66,50.02,7.37,103.4,Mango
149.2,60.3,23.0,31.78,69.14,6.86,50.53,Cotton
17.0,7.1,36.1,27.19,77.08,5.39,123.08,Coconut
23.7,6.6,11.9,24.9,81.61,6.56,125.78,Orange
27.1,40.7,61.7,31.73,66.89,6.86,58.96,Groundnut
106.5,26.1,43.7,26.62,83.0,5.91,182.33,Coffee
34.3,144.9,187.2,24.77,73.6,6.33,92.02,Grapes
28.3,76.7,16.8,27.08,33.61,6.98,48.15,Lentil
16.0,72.6,29.0,26.84,61.58,6.09,129.76,Pigeonpeas
44.0,76.7,63.4,36.76,85.32,6.6,153.42,Papaya
88.4,38.9,38.1,28.19,71.27,6.9,211.56,Jute
34.4,77.4,20.3,33.17,67.73,6.37,69.3,Blackgram
113.1,41.2,16.2,32.26,57.67,7.26,75.05,Cotton
28.3,140.1,208.1,24.77,76.18,6.99,64.94,Grapes
127.8,39.0,26.9,24.43,70.95,5.78,162.1,Coffee
21.5,14.9,5.0,16.29,85.25,6.57,124.36,Orange
29.3,58.8,18.4,23.49,33.33,7.1,38.87,Lentil
26.2,15.2,30.8,24.98,67.15,5.55,126.37,Mango
22.7,73.5,27.6,27.01,34.56,7.88,48.29,Lentil
16.8,62.9,16.4,29.56,41.25,3.66,67.28,Mothbeans
38.0,25.7,27.7,31.36,59.1,6.94,81.08,Mango
24.5,8.4,26.3,34.9,90.22,6.25,157.29,Coconut
26.6,59.9,16.9,25.54,91.06,6.8,55.72,Mungbean
19.3,66.9,22.5,18.67,45.14,6.43,130.5,Pigeonpeas
15.6,41.7,16.3,31.13,43.64,4.78,44.78,Mothbeans
31.2,138.1,201.3,8.33,92.4,6.65,138.67,Apple
18.7,78.3,16.4,22.56,63.29,6.34,141.45,Pigeonpeas
82.3,45.6,39.9,24.22,78.94,6.38,212.18,Sugarcane
23.8,36.8,63.4,31.81,66.46,5.84,67.18,Groundnut
26.9,39.9,61.5,27.56,76.96,5.77,58.17,Groundnut
75.6,54.9,45.9,36.48,73.6,6.52,241.42,Jute
64.6,76.0,55.9,35.68,90.22,7.29,157.03,Papaya
17.7,39.1,78.0,30.06,79.39,5.9,56.36,Groundnut
29.4,71.5,27.6,29.63,43.84,6.15,170.16,Pigeonpeas
25.8,69.8,23.6,25.61,52.03,7.13,59.23,Lentil
119.2,66.0,28.0,17.5,74.1,6.09,83.53,Wheat
22.3,58.9,26.4,33.35,86.48,7.03,55.01,Mungbean
33.6,84.3,85.3,22.95,40.56,7.47,62.44,Chickpea
103.5,19.0,45.0,20.76,65.57,5.97,199.32,Coffee
88.8,51.4,32.6,18.0,70.83,7.21,55.05,Wheat
88.1,44.3,27.9,28.99,62.38,6.73,73.15,Maize
16.4,71.1,20.9,28.31,44.84,6.93,54.78,Lentil
7.0,11.3,51.9,19.01,89.56,5.62,33.9,Pomegranate
28.5,13.4,10.8,25.05,87.91,6.21,101.12,Orange
117.4,40.7,28.6,27.03,74.07,6.64,246.49,Sugarcane
81.6,54.6,33.7,20.14,68.43,6.56,103.67,Maize
23.4,56.2,22.5,34.78,86.08,6.29,37.59,Mungbean
29.7,30.1,45.5,27.31,50.22,5.79,65.76,Mango
27.5,60.3,29.1,29.06,39.68,6.59,56.83,Lentil
20.8,124.7,202.0,9.17,85.82,6.19,105.61,Apple
90.3,59.0,44.2,29.99,84.67,5.54,161.63,Jute
93.7,41.7,27.7,15.72,61.3,6.09,108.22,Wheat
27.2,18.7,35.5,34.45,62.53,6.65,110.92,Mango
72.0,36.4,35.5,27.53,66.43,5.72,114.31,Maize
104.8,67.1,22.2,21.59,65.18,6.53,94.56,Wheat
93.1,57.4,50.5,32.44,83.05,6.06,154.34,Jute
30.8,63.3,17.9,33.26,32.07,5.99,157.98,Pigeonpeas
33.7,139.3,214.8,8.57,86.95,6.43,129.3,Apple
19.8,9.8,8.0,30.07,87.48,7.98,106.85,Orange
27.5,64.2,21.5,29.81,32.49,7.73,45.14,Lentil
67.4,36.7,45.1,29.41,83.43,5.64,172.12,Jute
123.6,55.6,50.6,32.47,85.1,6.81,87.44,Banana
16.2,5.2,43.8,27.47,80.08,6.12,33.76,Pomegranate
27.9,63.7,15.3,26.3,91.24,6.39,49.72,Mungbean
31.9,60.5,74.9,24.87,30.36,7.74,53.47,Chickpea
77.1,35.1,39.9,26.88,88.5,6.15,234.01,Jute
15.7,63.5,26.3,28.23,60.91,5.61,163.04,Pigeonpeas
60.2,57.5,50.4,20.85,83.5,5.76,294.96,Rice
121.7,68.9,19.7,25.39,52.88,7.6,85.04,Cotton
34.3,60.3,29.8,24.03,44.72,5.37,67.11,Mothbeans
21.3,54.8,21.7,28.0,89.78,6.06,36.88,Mungbean
28.4,75.9,26.0,18.72,50.64,5.92,154.96,Pigeonpeas
86.8,50.9,40.9,18.63,65.33,6.93,66.03,Maize
86.9,59.5,48.0,36.46,82.6,6.54,182.24,Jute
83.2,56.1,57.4,33.24,86.15,5.88,122.09,Banana
62.1,39.5,46.3,22.43,94.88,5.68,271.73,Rice
23.4,149.5,193.5,13.38,83.38,5.83,95.29,Grapes
101.1,54.3,50.3,34.7,80.99,5.88,121.26,Banana
38.7,55.7,27.1,32.84,65.16,7.53,68.61,Blackgram
16.8,134.6,214.9,34.09,85.33,6.4,85.76,Grapes
94.1,70.3,57.5,29.09,73.65,5.94,98.33,Banana
96.5,60.8,22.2,23.34,70.34,6.83,81.84,Wheat
82.0,36.5,55.0,26.69,94.38,6.89,281.84,Rice
107.8,44.9,24.3,27.28,58.4,7.93,60.38,Cotton
83.4,55.9,52.1,26.12,82.61,5.51,222.21,Rice
114.9,19.7,25.4,15.65,71.05,5.78,128.18,Coffee
18.0,5.1,43.4,24.02,89.72,5.7,66.53,Pomegranate
28.6,146.3,206.6,21.27,93.79,6.25,142.56,Apple
31.2,142.6,194.7,11.71,90.89,6.05,154.13,Apple
34.7,22.4,46.2,34.65,63.33,7.11,114.62,Mango
12.0,39.6,65.5,26.51,77.43,6.73,91.57,Groundnut
27.7,74.6,23.3,28.36,55.51,6.32,41.07,Lentil
124.8,35.5,25.3,24.02,58.34,6.18,121.82,Coffee
53.3,75.1,70.6,23.5,15.85,7.89,54.94,Chickpea
29.8,131.9,210.5,21.92,94.57,5.75,145.04,Apple
59.5,84.6,90.7,20.58,44.32,6.09,57.08,Chickpea
83.2,49.7,39.2,33.2,76.53,6.92,239.24,Sugarcane
30.5,12.7,33.3,25.6,93.89,5.53,177.27,Coconut
109.8,68.1,22.7,16.52,69.79,7.22,96.91,Wheat
138.2,52.4,31.9,25.01,62.68,6.02,75.29,Cotton
84.8,52.8,31.6,16.49,53.82,7.38,54.7,Wheat
119.6,66.9,26.2,21.72,66.3,6.48,83.29,Wheat
58.3,67.4,62.3,30.0,80.67,6.31,131.07,Papaya
28.5,67.2,34.2,19.56,38.86,5.78,175.48,Pigeonpeas
84.2,41.6,18.9,19.41,66.85,6.41,96.34,Wheat
10.7,44.5,68.6,27.98,68.5,5.83,65.08,Groundnut
120.6,15.4,30.4,20.37,77.27,6.98,180.62,Coffee
34.6,37.7,46.7,29.54,73.76,6.13,76.91,Mango
87.4,60.3,50.5,21.83,75.64,5.97,212.13,Rice
29.6,83.8,16.9,24.62,52.6,7.44,164.51,Pigeonpeas
72.8,49.0,31.7,20.98,57.42,6.08,83.05,Maize
113.4,65.7,34.7,30.83,47.38,7.93,89.28,Cotton
39.3,60.1,29.9,34.08,71.95,6.16,59.08,Blackgram
39.5,27.7,27.2,27.0,54.93,6.12,116.34,Mango
47.3,77.3,15.2,26.85,75.51,7.99,55.73,Blackgram
100.2,24.2,37.1,15.92,82.91,5.81,159.31,Coffee
28.0,147.9,200.2,20.57,85.09,6.04,151.36,Apple
35.7,61.3,77.9,23.53,48.2,6.68,97.52,Chickpea
39.3,82.7,85.3,29.39,17.07,6.82,57.19,Chickpea
26.7,25.8,47.8,34.61,56.74,6.06,97.81,Mango
27.8,5.2,30.0,27.82,89.75,5.62,185.87,Coconut
109.2,60.8,25.2,27.44,48.45,6.77,59.29,Cotton
21.0,40.6,29.7,28.28,90.68,7.3,57.94,Mungbean
30.3,18.0,29.4,25.39,79.6,5.38,210.46,Coconut
83.9,65.3,17.5,21.25,70.88,7.33,52.64,Wheat
20.3,15.4,10.8,10.25,91.75,7.19,93.11,Orange
14.8,36.2,67.9,26.01,61.51,5.87,78.12,Groundnut
18.2,63.1,75.3,25.3,59.5,6.5,97.51,Groundnut
123.8,68.4,67.8,27.64,77.83,6.84,102.09,Banana
91.0,45.4,43.9,26.61,90.98,7.19,167.61,Sugarcane
14.8,51.8,60.3,30.85,78.75,5.77,64.79,Groundnut
64.5,39.9,36.5,21.09,59.65,6.97,107.45,Maize
32.9,71.5,16.4,30.51,69.32,6.69,70.76,Blackgram
29.6,19.9,12.3,25.35,88.2,6.32,119.67,Orange
97.9,38.3,25.5,21.76,58.79,6.88,84.62,Maize
29.9,40.2,36.4,28.22,68.97,6.67,105.93,Mango
